Store ID,Store Name,Positive Feedback,Feeback Store,Date Opened,Item as Described,Communication,Shipping Speed,Time Scraped
2027080,JPJ,3193,98.1,18 Feb 2016,4.7,4.6,4.3,2017-04-30 01:19:00.830310
406498,"Sophia apparel (China) Co., Ltd. More quantity more discount!",59668,97.9,18 Apr 2011,4.7,4.7,4.6,2017-04-30 01:19:01.993316
1209587,PioneerCamp Official Flagship Store,38926,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:19:02.864290
2703015,lizhigang Store,758,98.2,11 Nov 2016,4.5,4.5,4.3,2017-04-30 01:19:03.790129
1972984,good faith management fur,2748,98.2,08 Dec 2015,4.7,4.8,4.8,2017-04-30 01:19:04.774663
1490177,Yitang Store,2985,98.8,20 Oct 2014,4.8,4.8,4.7,2017-04-30 01:19:05.889091
2669073,RTYRYE Store,3008,96.2,17 Oct 2016,4.6,4.6,4.5,2017-04-30 01:19:06.981941
1561193,HELLO VIP,13252,98.4,09 Dec 2014,4.8,4.8,4.6,2017-04-30 01:19:07.896227
1075230,Miss Charm,27162,96.7,13 Dec 2013,4.6,4.6,4.2,2017-04-30 01:19:08.947476
1628526,Band T Shirt,3003,96.5,23 Dec 2014,4.6,4.6,4.5,2017-04-30 01:19:09.916691
236865,fa fa fa Store,1143,95.3,19 Sep 2013,4.6,4.7,4.8,2017-04-30 01:19:10.876003
1240396,Hip Hip God Store,3726,97.5,26 Apr 2014,4.6,4.6,4.5,2017-04-30 01:19:11.759895
2844041,Low price offer Store,210,98.2,13 Feb 2017,4.8,4.8,4.8,2017-04-30 01:19:12.714792
2180158,TARCHIA,1279,99.1,26 May 2016,4.8,4.8,4.6,2017-04-30 01:19:13.664662
1728012,avengers alliance Store,2581,96.8,09 Mar 2015,4.6,4.6,4.4,2017-04-30 01:19:15.723226
1728789,FUCHUAN FASHION GARMENTS CO. LTD,1952,95.5,15 Mar 2015,4.6,4.6,4.5,2017-04-30 01:19:16.631259
708930,-HOOK-ON-YOU- Store,8653,97.9,16 Sep 2011,4.7,4.7,4.6,2017-04-30 01:19:17.636912
1967946,WEIWANG Store,4355,96.4,25 Nov 2015,4.5,4.6,4.4,2017-04-30 01:19:18.593976
2181123,CS Factory Direct Sales,860,93.0,18 May 2016,4.4,4.4,4.3,2017-04-30 01:19:19.474386
1803631,Du Beckey,7428,96.5,10 May 2015,4.6,4.6,4.5,2017-04-30 01:19:20.468981
2134051,FanFish Store,2557,97.4,22 Mar 2016,4.7,4.7,4.5,2017-04-30 01:19:21.696657
2210015,Kissmilk,6948,96.6,02 Jun 2016,4.6,4.7,4.6,2017-04-30 01:19:22.545601
1033140,Brave Person Official Store,5278,98.5,13 Nov 2013,4.7,4.6,4.2,2017-04-30 01:19:23.383995
618793,Coolcolors ACGcostume Store,3406,98.1,28 Feb 2013,4.7,4.7,4.6,2017-04-30 01:19:24.298027
816681,TEEHEART Store,28117,98.0,04 Dec 2012,4.7,4.7,4.6,2017-04-30 01:19:25.280604
1777283,LH-Top Fashion,9398,97.2,24 Apr 2015,4.7,4.7,4.7,2017-04-30 01:19:26.177256
1856265,La La La you,9326,93.5,13 Jul 2015,4.5,4.6,4.4,2017-04-30 01:19:27.081477
1803631,Du Beckey,7428,96.5,10 May 2015,4.6,4.6,4.5,2017-04-30 01:19:28.062874
1209587,PioneerCamp Official Flagship Store,38926,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:19:29.003008
815655,HAMPSON LANQE Golden Friendship Store,49000,96.2,01 Nov 2012,4.6,4.6,4.3,2017-04-30 01:19:29.986455
1908258,THE COOLMIND Store,11561,97.9,24 Aug 2015,4.7,4.6,4.4,2017-04-30 01:19:31.034065
1972984,good faith management fur,2748,98.2,08 Dec 2015,4.7,4.8,4.8,2017-04-30 01:19:31.983454
1817431,li fen wen na Official Store,16043,97.9,28 May 2015,4.7,4.7,4.6,2017-04-30 01:19:32.889798
816681,TEEHEART Store,28117,98.0,04 Dec 2012,4.7,4.7,4.6,2017-04-30 01:19:33.817241
1972351,Oneself,2035,96.4,03 Dec 2015,4.6,4.6,4.4,2017-04-30 01:19:34.913981
1702269,JWJ STORE,20644,98.6,01 Feb 2015,4.8,4.7,4.7,2017-04-30 01:19:35.890323
1987194,XiaoMeng 3D Store,2472,96.7,20 Dec 2015,4.6,4.6,4.5,2017-04-30 01:19:36.982464
1847694,Super T Shirts,5827,98.7,08 Jul 2015,4.8,4.7,4.6,2017-04-30 01:19:37.975918
1627500,IGGYclothing 3 Store,4148,96.1,23 Dec 2014,4.7,4.6,4.5,2017-04-30 01:19:38.975773
327396,Outdoor Adventure Club,15864,97.4,03 Mar 2013,4.7,4.7,4.5,2017-04-30 01:19:39.918408
2189131,"World First.,LTD",9792,98.9,17 May 2016,4.8,4.7,4.6,2017-04-30 01:19:40.955927
1180464,YiRuiSen Store,5541,98.0,12 Mar 2014,4.7,4.7,4.6,2017-04-30 01:19:41.919397
816681,TEEHEART Store,28117,98.0,04 Dec 2012,4.7,4.7,4.6,2017-04-30 01:19:42.950147
1777283,LH-Top Fashion,9398,97.2,24 Apr 2015,4.7,4.7,4.7,2017-04-30 01:19:43.836312
2348107,seven7 Men's Clothes Store,460,98.9,21 Jul 2016,4.8,4.8,4.7,2017-04-30 01:19:44.667330
1856265,La La La you,9326,93.5,13 Jul 2015,4.5,4.6,4.4,2017-04-30 01:19:45.634591
1803631,Du Beckey,7428,96.5,10 May 2015,4.6,4.6,4.5,2017-04-30 01:19:46.643240
1209587,PioneerCamp Official Flagship Store,38926,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:19:47.577188
815655,HAMPSON LANQE Golden Friendship Store,49000,96.2,01 Nov 2012,4.6,4.6,4.3,2017-04-30 01:19:48.565038
1908258,THE COOLMIND Store,11561,97.9,24 Aug 2015,4.7,4.6,4.4,2017-04-30 01:19:49.517768
1972984,good faith management fur,2748,98.2,08 Dec 2015,4.7,4.8,4.8,2017-04-30 01:19:50.513628
2344295,LETING Direct Inc. Store,381,97.8,10 Aug 2016,4.7,4.7,4.4,2017-04-30 01:19:51.644782
1817431,li fen wen na Official Store,16043,97.9,28 May 2015,4.7,4.7,4.6,2017-04-30 01:19:52.561623
816681,TEEHEART Store,28117,98.0,04 Dec 2012,4.7,4.7,4.6,2017-04-30 01:19:53.482674
1972351,Oneself,2035,96.4,03 Dec 2015,4.6,4.6,4.4,2017-04-30 01:19:54.691867
1702269,JWJ STORE,20644,98.6,01 Feb 2015,4.8,4.7,4.7,2017-04-30 01:19:55.646083
1987194,XiaoMeng 3D Store,2472,96.7,20 Dec 2015,4.6,4.6,4.5,2017-04-30 01:19:56.906410
1847694,Super T Shirts,5827,98.7,08 Jul 2015,4.8,4.7,4.6,2017-04-30 01:19:57.898342
1627500,IGGYclothing 3 Store,4148,96.1,23 Dec 2014,4.7,4.6,4.5,2017-04-30 01:19:58.851740
327396,Outdoor Adventure Club,15864,97.4,03 Mar 2013,4.7,4.7,4.5,2017-04-30 01:20:00.719806
413224,Mr.1991INC&Miss.GO TopBrand Store,34105,97.3,26 Jul 2012,4.6,4.6,4.5,2017-04-30 01:20:01.616907
2180158,TARCHIA,1279,99.1,26 May 2016,4.8,4.8,4.6,2017-04-30 01:20:02.575545
216555,Shop216555 Store,8284,98.2,01 Dec 2012,4.7,4.8,4.6,2017-04-30 01:20:03.471966
2027080,JPJ,3193,98.1,18 Feb 2016,4.7,4.6,4.3,2017-04-30 01:20:04.487081
736737,Devil Art Store,14562,96.1,16 Sep 2013,4.6,4.7,4.6,2017-04-30 01:20:05.419359
1908258,THE COOLMIND Store,11561,97.9,24 Aug 2015,4.7,4.6,4.4,2017-04-30 01:20:06.391152
2341010,The Shop Without A Name,1922,98.1,11 Jul 2016,4.7,4.7,4.5,2017-04-30 01:20:07.434375
1209587,PioneerCamp Official Flagship Store,38926,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:20:08.319787
1460275,EVOCUST Unique Store,4604,98.3,27 Sep 2014,4.7,4.7,4.6,2017-04-30 01:20:09.438586
1702269,JWJ STORE,20644,98.6,01 Feb 2015,4.8,4.7,4.7,2017-04-30 01:20:10.325787
406498,"Sophia apparel (China) Co., Ltd. More quantity more discount!",59668,97.9,18 Apr 2011,4.7,4.7,4.6,2017-04-30 01:20:11.355618
236865,fa fa fa Store,1143,95.3,19 Sep 2013,4.6,4.7,4.8,2017-04-30 01:20:12.295968
511131,Little Cherry Fashion Clothing,14188,98.6,28 Mar 2012,4.8,4.8,4.7,2017-04-30 01:20:13.254065
2880064,Men's wardrobe apparel Store,98,100.0,25 Feb 2017,5.0,5.0,5.0,2017-04-30 01:20:14.164185
1873745,"Hangzhou export co., LTD",6455,97.8,27 Jul 2015,4.7,4.7,4.6,2017-04-30 01:20:15.287702
